name,rmse,mae,r2
Random Forest,21.370766490103684,16.433441951470986,0.6693298250829405
Decision Tree,28.952109190539172,23.090377345229644,0.3931026471741639
XGBoost,31.409695046175734,25.83254436806684,0.28569734074185515
Linear Regression,70.64848033074783,63.94678525177379,-2.6137697328459657
