Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Company
2021-07-06,136.53348691022637,139.53570925876045,136.53348691022637,138.4342498779297,108181800,0.0,0.0,AAPL
2021-07-07,139.91586805219615,141.231788943126,139.05809657469072,140.9198760986328,104911600,0.0,0.0,AAPL
2021-07-08,138.00539740279086,140.422778328839,137.11836946520646,139.6234893798828,105575500,0.0,0.0,AAPL
2021-07-09,139.14585831818513,141.972633378387,139.04837716154248,141.44627380371094,99890800,0.0,0.0,AAPL
2021-07-12,142.51850183873523,142.62572515772004,140.36429329314447,140.85166931152344,76299700,0.0,0.0,AAPL
2021-07-13,140.3934939298509,143.7369001800956,140.00359917768813,141.9628448486328,100827100,0.0,0.0,AAPL
2021-07-14,144.36076918149035,145.79365573228569,143.95136027537654,145.38424682617188,127050800,0.0,0.0,AAPL
2021-07-15,145.47197634550716,146.21278242197315,143.37625087333885,144.7311553955078,106820300,0.0,0.0,AAPL
2021-07-16,144.7116519617399,145.9788173432772,142.19679065127386,142.69390869140625,93251400,0.0,0.0,AAPL
2021-07-19,140.12060468938105,140.43253247911716,138.09311867670348,138.85342407226562,121434600,0.0,0.0,AAPL
2021-07-20,139.83792120496685,143.38601770583355,139.35054523026795,142.45999145507812,96350000,0.0,0.0,AAPL
2021-07-21,141.85563485293181,142.44049190950972,140.97836414159778,141.72891235351562,74993500,0.0,0.0,AAPL
2021-07-22,142.2553252616605,144.45825967498962,142.12860272787458,143.09361267089844,77338200,0.0,0.0,AAPL
2021-07-23,143.8246641352954,144.96512221870486,143.21056560056124,144.8091583251953,71447400,0.0,0.0,AAPL
2021-07-26,144.52647939059113,146.04709009069717,143.97086362595675,145.22830200195312,72434100,0.0,0.0,AAPL
2021-07-27,145.35497344078965,145.44271240050767,141.8751174935938,143.06431579589844,104818600,0.0,0.0,AAPL
2021-07-28,141.1538434950934,143.2593115153304,138.94115215326465,141.31954956054688,118931200,0.0,0.0,AAPL
2021-07-29,141.0368336570977,142.8498725143642,140.92961036922324,141.9628448486328,56699500,0.0,0.0,AAPL
2021-07-30,140.73470874624329,142.63547230965827,140.47152152252852,142.17733764648438,70440600,0.0,0.0,AAPL
2021-08-02,142.6647202141764,143.23982039265098,141.58274477107045,141.84593200683594,62880000,0.0,0.0,AAPL
2021-08-03,142.12856645538005,144.30225894055675,141.51446802349406,143.63943481445312,64786600,0.0,0.0,AAPL
2021-08-04,143.5517196242508,144.058579914417,142.58670986762564,143.2397918701172,56368300,0.0,0.0,AAPL
2021-08-05,143.26903344221475,144.107320690727,142.47948676454712,143.34701538085938,46397700,0.0,0.0,AAPL
2021-08-06,142.86867690985883,143.61059289976055,142.16580285802874,142.66366577148438,54126800,0.22,0.0,AAPL
2021-08-09,142.72222158501236,143.210327688173,142.0584044347056,142.61483764648438,48908700,0.0,0.0,AAPL
2021-08-10,142.95656585685202,144.19635994581478,141.84368416396723,142.1365509033203,69023100,0.0,0.0,AAPL
2021-08-11,142.57581781429272,143.2298783064216,142.06818321748432,142.3903350830078,48493500,0.0,0.0,AAPL
2021-08-12,142.71249604702388,145.50446416374155,142.37081574173467,145.3482666015625,72282600,0.0,0.0,AAPL
2021-08-13,145.42634081402107,145.88516176552068,144.74299521470792,145.55325317382812,59375000,0.0,0.0,AAPL
2021-08-16,145.00659283395282,147.59356480078714,142.9858407795006,147.5252227783203,103296000,0.0,0.0,AAPL
2021-08-17,146.65636676617194,148.07187159409528,145.5434853619502,146.61732482910156,92229700,0.0,0.0,AAPL
2021-08-18,146.23663716721276,147.13475089008148,142.67345256358962,142.8784637451172,86326000,0.0,0.0,AAPL
2021-08-19,141.5800847276963,144.4794367790495,141.06269334170713,143.21035766601562,86960300,0.0,0.0,AAPL
2021-08-20,143.9327425154178,144.9675251601663,143.28843882859866,144.66490173339844,60549600,0.0,0.0,AAPL
2021-08-23,144.7820517027598,146.61733569322215,144.37204430196212,146.1487579345703,60131800,0.0,0.0,AAPL
2021-08-24,145.89494350289067,147.27140659304087,145.60207679709836,146.06089782714844,48606400,0.0,0.0,AAPL
2021-08-25,146.24637657624294,146.74425443123712,144.28419502392072,144.83087158203125,58991300,0.0,0.0,AAPL
2021-08-26,144.82109417148567,145.57276688380205,144.00106455542348,144.0303497314453,48597200,0.0,0.0,AAPL
2021-08-27,143.97178711441077,145.21158091727293,143.33725507209095,145.06515502929688,55802400,0.0,0.0,AAPL
2021-08-30,145.45568503514545,149.8388852017209,145.07496269699374,149.47767639160156,90956700,0.0,0.0,AAPL
2021-08-31,149.02856544896787,149.16523456794167,147.69114453920625,148.2183074951172,86453100,0.0,0.0,AAPL
2021-09-01,149.19453621732464,151.29338682527435,148.71618680019012,148.88214111328125,80313700,0.0,0.0,AAPL
2021-09-02,150.20979354918074,151.0395800272227,148.77476016459727,149.99502563476562,71115500,0.0,0.0,AAPL
2021-09-03,150.10241459437898,150.95172951907767,149.44835406806936,150.62957763671875,57808700,0.0,0.0,AAPL
2021-09-07,151.28363626481305,153.51915609845358,150.71743128739138,152.9627227783203,82278300,0.0,0.0,AAPL
2021-09-08,153.24581573453693,153.3043860941943,150.31717858511598,151.42030334472656,74420200,0.0,0.0,AAPL
2021-09-09,151.79126431107525,152.39651120399355,150.28788894400816,150.40504455566406,57305700,0.0,0.0,AAPL
2021-09-10,151.3129047338198,151.78148246152148,145.16276433644302,145.4263458251953,140893200,0.0,0.0,AAPL
2021-09-13,147.04684942260073,147.8180505115286,145.21156570783384,145.99253845214844,102404300,0.0,0.0,AAPL
2021-09-14,146.77353720711707,147.4764113119793,143.41536423851278,144.59657287597656,109296300,0.0,0.0,AAPL
2021-09-15,145.02610332343372,145.8851749521173,142.88819590848047,145.48492431640625,83281300,0.0,0.0,AAPL
2021-09-16,144.90897545621797,145.42636685232276,143.71799510025087,145.25064086914062,68034100,0.0,0.0,AAPL
2021-09-17,145.27992686740734,145.27992686740734,142.29270460935308,142.5855712890625,129868800,0.0,0.0,AAPL
2021-09-20,140.37933813407227,141.3945924183066,137.90952209387459,139.539794921875,123478900,0.0,0.0,AAPL
2021-09-21,140.5062336067531,141.16030897663776,139.38359538478255,140.01812744140625,75834000,0.0,0.0,AAPL
2021-09-22,141.01386330488788,142.94675948187773,140.28170408222925,142.3805694580078,76404300,0.0,0.0,AAPL
2021-09-23,143.16155428115266,143.58133339351843,142.17558503852095,143.3372802734375,64838200,0.0,0.0,AAPL
2021-09-24,142.19510285111807,143.96204492535793,142.09747565204063,143.4251251220703,53477900,0.0,0.0,AAPL
2021-09-27,142.00959923062172,142.48794860245857,140.39885495340664,141.91197204589844,74150700,0.0,0.0,AAPL
2021-09-28,139.8424381686271,141.3067568929059,138.31954907870838,138.53431701660156,108972300,0.0,0.0,AAPL
