Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Company
2021-07-12,267.9089353442858,268.49433627554,265.43290144744316,266.1430969238281,18931700,0.0,0.0,MSFT
2021-07-13,266.33500707591065,271.4502066850758,266.21027111145844,269.65557861328125,26120100,0.0,0.0,MSFT
2021-07-14,270.9704073941302,272.2276079057793,269.2429355174447,271.12396240234375,23113700,0.0,0.0,MSFT
2021-07-15,270.63442855853714,271.1238831737116,268.5518741472632,269.7035217285156,22604200,0.0,0.0,MSFT
2021-07-16,270.7016516270204,272.6498347308158,268.19682804350134,269.4348449707031,26186800,0.0,0.0,MSFT
2021-07-19,267.6882436982978,269.07020954845063,263.38882042015535,265.84564208984375,32935600,0.0,0.0,MSFT
2021-07-20,266.8244222536532,269.64593236514037,265.1257699569879,268.06243896484375,26259700,0.0,0.0,MSFT
2021-07-21,267.6593827064098,270.17378317649553,266.1142851990735,270.0586242675781,24364300,0.0,0.0,MSFT
2021-07-22,272.4003154535662,274.8763494100788,271.9972592293282,274.6076354980469,23384100,0.0,0.0,MSFT
2021-07-23,275.78807157831795,278.30247257073574,274.9531400276046,277.9953918457031,22768100,0.0,0.0,MSFT
2021-07-26,277.3523869804331,278.0145801435692,275.0875164942922,277.4003601074219,23176100,0.0,0.0,MSFT
2021-07-27,277.7649628522518,277.90891147588917,271.54614801020494,274.991455078125,33604100,0.0,0.0,MSFT
2021-07-28,277.3427364892114,278.4559881617901,272.3906980646863,274.68438720703125,33566900,0.0,0.0,MSFT
2021-07-29,274.70353348763825,276.9876159825094,274.5499785237899,274.95306396484375,18168300,0.0,0.0,MSFT
2021-07-30,273.676715567838,275.1066542513288,272.46748837703086,273.42718505859375,20944800,0.0,0.0,MSFT
2021-08-02,274.8187014564499,275.2121805728668,272.30430107664915,273.3407897949219,16267400,0.0,0.0,MSFT
2021-08-03,273.91665931799884,275.6537080927837,272.5538770462147,275.5481262207031,17879000,0.0,0.0,MSFT
2021-08-04,274.6844177660965,275.99919768889043,273.1776867693029,274.9627380371094,16191300,0.0,0.0,MSFT
2021-08-05,275.31776508444204,277.9569307324331,274.5692029085165,277.8513488769531,13900200,0.0,0.0,MSFT
2021-08-06,276.8821288688246,277.83221931412936,276.0279846719422,277.7938232421875,16589300,0.0,0.0,MSFT
2021-08-09,278.0721021873737,279.7995444289697,276.2102883577603,276.7093200683594,16117600,0.0,0.0,MSFT
2021-08-10,277.1603778240849,277.592253026987,273.70549335133626,274.8955078125,18616600,0.0,0.0,MSFT
2021-08-11,275.6345110192113,277.0260831007816,274.3389144756151,275.385009765625,13955900,0.0,0.0,MSFT
2021-08-12,275.0778410317268,278.28322415990436,274.7995208173079,278.1296691894531,14561300,0.0,0.0,MSFT
2021-08-13,277.812946699226,281.09509224942906,277.6401790747846,281.047119140625,18249000,0.0,0.0,MSFT
2021-08-16,281.37341744639224,282.93772741778326,278.33116667356506,282.7265930175781,22507600,0.0,0.0,MSFT
2021-08-17,280.60574999790174,281.60381354222284,279.3485202964206,281.2679138183594,20075300,0.0,0.0,MSFT
2021-08-18,280.80651322886354,283.47957767604106,279.10457856794585,279.5469055175781,21813000,0.56,0.0,MSFT
2021-08-19,277.5852494378773,286.0275166816487,277.53718447593633,285.35443115234375,29850500,0.0,0.0,MSFT
2021-08-20,288.19099349843,294.07557732948726,286.5948434162002,292.6524963378906,40817600,0.0,0.0,MSFT
2021-08-23,291.5851633028545,293.6524553767425,290.23902167406834,292.9313049316406,22830200,0.0,0.0,MSFT
2021-08-24,293.2870454973741,293.892816520206,290.3832238228718,290.9793701171875,18175800,0.0,0.0,MSFT
2021-08-25,292.59474421285233,292.8735972507259,288.86401745475416,290.3928527832031,20006100,0.0,0.0,MSFT
2021-08-26,289.4120524153368,290.79666345082654,287.4505445681289,287.58514404296875,17666100,0.0,0.0,MSFT
2021-08-27,287.48901815902764,289.2967066286994,285.4121013647465,288.1909484863281,22605700,0.0,0.0,MSFT
2021-08-30,289.5370889044811,292.51784992119383,289.4793992168539,291.9120788574219,16348100,0.0,0.0,MSFT
2021-08-31,292.7102186066526,292.7871284221074,289.9025261716433,290.2679138183594,26285300,0.0,0.0,MSFT
2021-09-01,291.2197911507648,293.4505570216653,289.89286956645867,290.21978759765625,18983800,0.0,0.0,MSFT
2021-09-02,290.5756073825475,291.69096108011354,288.6332897832502,289.56597900390625,16285600,0.0,0.0,MSFT
2021-09-03,289.4120818879158,290.96016674016533,288.7101809142856,289.55633544921875,14747900,0.0,0.0,MSFT
2021-09-07,289.4314211233399,289.50833094869637,286.72951234837865,288.6333312988281,17180400,0.0,0.0,MSFT
2021-09-08,288.2486568040006,289.04671710020153,286.0275156464967,288.662109375,15046800,0.0,0.0,MSFT
2021-09-09,289.2486315123154,290.51786328819594,285.5755650140941,285.8159484863281,19927000,0.0,0.0,MSFT
2021-09-10,286.9409216974985,288.38322235824313,284.017850808825,284.33514404296875,19633400,0.0,0.0,MSFT
2021-09-13,286.1044357072228,287.0563743400453,282.7679114864811,285.56597900390625,23652900,0.0,0.0,MSFT
2021-09-14,288.0371373862397,289.79676112846977,286.6333058908585,288.25830078125,21853400,0.0,0.0,MSFT
2021-09-15,291.5947969733447,293.57555457579934,290.2101857287975,293.09478759765625,28356300,0.0,0.0,MSFT
2021-09-16,292.0755692493566,293.5659351711585,289.19096732817496,293.4794006347656,19550800,0.0,0.0,MSFT
2021-09-17,292.469819016164,292.7871123350573,288.0082870289444,288.335205078125,41372500,0.0,0.0,MSFT
2021-09-20,284.93128245062667,287.22936219183777,278.38323997844657,282.9793701171875,38278700,0.0,0.0,MSFT
2021-09-21,284.31595379410885,286.09479733126966,282.7582736118841,283.4601745605469,22364100,0.0,0.0,MSFT
2021-09-22,285.3160339610174,288.6717786965253,283.1814270111703,287.0948486328125,26626300,0.0,0.0,MSFT
2021-09-23,287.35442848279695,289.32556135418525,286.085196618995,288.037109375,18604600,0.0,0.0,MSFT
2021-09-24,286.7582613035244,288.26784720291187,285.50824964587054,287.8351745605469,14999000,0.0,0.0,MSFT
2021-09-27,284.7486540480037,285.0659473135494,281.67173392975803,282.85443115234375,23571700,0.0,0.0,MSFT
2021-09-28,278.6525374846611,279.59485135493725,271.87373461890644,272.6141052246094,43186200,0.0,0.0,MSFT
2021-09-29,274.1333769693656,275.7391224791571,272.1237742275419,273.07568359375,26353700,0.0,0.0,MSFT
2021-09-30,274.71981454324316,276.7582615099041,270.7871448115844,271.07562255859375,32343600,0.0,0.0,MSFT
2021-10-01,271.2680634790172,278.82573865496653,270.4700028875353,277.9795837402344,30086300,0.0,0.0,MSFT
2021-10-04,276.3448682644361,276.6814110362589,269.4699059701531,272.2198791503906,31350700,0.0,0.0,MSFT
2021-10-05,273.1236812465694,279.2294271274474,273.1236812465694,277.65252685546875,24993000,0.0,0.0,MSFT
2021-10-06,274.78720381326485,282.33525208926756,274.5276001795463,281.8352355957031,28002600,0.0,0.0,MSFT
2021-10-07,283.825594084445,285.22945482720434,282.6140812194665,283.50830078125,20430500,0.0,0.0,MSFT
