Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Company,Year,Month,Day,Day_Name,Weekday,Daily_Return,Log_Return,MA20,MA50,MA100,EMA20,EMA50,Volatility,Dollar_Volume,Price_Change_%,Volume_Change_%,High_Low_Spread,Open_Close_Change,Cumulative_Return,BB_Upper,BB_Lower,RSI,MACD,Signal_Line,ATR
2021-11-30,381.4566650390625,389.3333435058594,372.6666564941406,381.586669921875,81276000,0.0,0.0,TSLA,2021,11,30,Tuesday,1,0.006833823403773698,0.006810578672784683,372.08866424560546,320.82866760253904,277.32870071411133,363.18935675306966,332.4912091076122,0.04097597757857093,31013838184.570312,0.034081166939156,39.18672454982146,16.66668701171875,0.1300048828125,0.6694764690979476,415.2320211591479,328.945307332063,65.3797446453533,13.491228811938129,15.697932583957034,20.166187831333723
2021-12-01,386.8999938964844,390.9466552734375,363.586669921875,365.0,68450400,0.0,0.0,TSLA,2021,12,1,Wednesday,2,-0.04346763456194869,-0.044440653310942796,370.8053314208984,323.19946746826173,278.6930340576172,363.3618059917376,333.7888872064069,0.041559105676252234,24984396000.0,-5.660375870242,-15.780304148826218,27.3599853515625,-21.899993896484375,0.5969082760294258,413.14127464057907,328.4693882012178,53.385226900877484,12.084504467656132,14.975246960579083,19.958805629185285
2021-12-02,366.3533325195313,371.0,352.2166748046875,361.5333251953125,73114800,0.0,0.0,TSLA,2021,12,2,Thursday,3,-0.00949773919092467,-0.009543130353379798,368.6509979248047,325.4172006225586,280.0799006652832,363.18765854526083,334.8956060137661,0.0405866795037791,26433436764.990234,-1.3156717562987745,6.814277199256691,18.7833251953125,-4.820007324218807,0.581741257711869,408.0231574226327,329.2788384269767,52.60055754859246,10.568208195976638,14.093839207543686,20.10309055873327
2021-12-03,361.5966796875,363.5266723632813,333.4033203125,338.3233337402344,92322000,0.0,0.0,TSLA,2021,12,3,Friday,4,-0.06419876077133224,-0.0663521763056877,365.06866455078125,327.15940063476563,281.2852006530762,360.81954864631166,335.0322451256706,0.04242720871189802,31234686817.565918,-6.436272027547093,26.269920727404017,30.123352050781307,-23.273345947265625,0.48019542910587854,401.54255691578004,328.59477218578246,47.92710752074765,7.40890123918615,12.756851613732737,21.199759347098226
2021-12-06,333.836669921875,340.5466613769531,316.8333435058594,336.336669921875,81663000,0.0,0.0,TSLA,2021,12,6,Monday,0,-0.005872086315763081,-0.005889394805839068,361.5173309326172,328.72353393554687,282.4799006652832,358.48777556226605,335.08420962839375,0.04242874532186106,27466261475.83008,0.7488692001945305,-11.545460453629685,23.71331787109375,2.5,0.47150359378197093,394.2959705002734,328.73869136496097,49.491835008734434,4.690803457628988,11.143641982377385,21.588330950055816
2021-12-07,348.0666809082031,352.5566711425781,342.2699890136719,350.5833435058594,56084700,0.0,0.0,TSLA,2021,12,7,Tuesday,1,0.04235837141187604,0.04148581070093519,359.6641647338867,330.45946716308595,283.83833404541014,357.73495196005314,335.7012667459236,0.04280548713408538,19662361645.52307,0.7230403643030625,-31.321773630652807,10.28668212890625,2.51666259765625,0.5338340895412981,390.3466185229835,328.98171094478994,49.65538547932959,3.6439489349224345,9.643703372786275,21.436902727399563
2021-12-08,350.9033203125,357.4599914550781,344.3333435058594,356.32000732421875,41906400,0.0,0.0,TSLA,2021,12,8,Wednesday,2,0.016363195584229162,0.016230761245708623,360.4218322753906,332.4021337890625,285.2474674987793,357.6001919999615,336.5216579881098,0.033164267506242066,14932088754.93164,1.5436408543797397,-25.280156620254722,13.12664794921875,5.41668701171875,0.5589325167422206,389.90601531648093,330.9376492343003,47.586028708091774,3.2397421866358513,8.362911135487796,20.829044886997774
2021-12-09,353.5466613769531,354.163330078125,334.1199951171875,334.6000061035156,59438400,0.0,0.0,TSLA,2021,12,9,Thursday,3,-0.06095644581905246,-0.06289341727027524,359.35266571044923,333.885400390625,286.39180084228514,355.4096491584633,336.4452418921049,0.034599913412509835,19888089002.783203,-5.359025368715471,41.836091861863586,20.0433349609375,-18.9466552734375,0.4639055312498641,390.9869579391223,327.71837348177615,40.2151880655523,1.1539125320886683,6.9211114147463775,21.534284319196438
2021-12-10,336.25,340.32666015625,327.510009765625,339.010009765625,59664300,0.0,0.0,TSLA,2021,12,10,Friday,4,0.013179927022311633,0.013093827482800639,358.5779998779297,335.4957336425781,287.5976010131836,353.8477471639714,336.54717595470936,0.03477346276847499,20226794925.65918,0.8208207481412639,0.38005733667123565,12.816650390625,2.760009765625,0.48319969931929574,391.4470079301444,325.708991825715,36.53255379029791,-0.14171519285014256,5.508546093178798,21.354045322963177
2021-12-13,333.6966552734375,335.0,317.1400146484375,322.1366577148437,78595500,0.0,0.0,TSLA,2021,12,13,Monday,0,-0.04977243020772959,-0.05105377592462954,357.46116638183594,336.7703332519531,288.6547676086426,350.8275881649381,335.97474712697266,0.035951296985157005,25318491681.427,-3.4642233824972926,31.729526701897104,17.8599853515625,-11.559997558593807,0.4093772458008007,393.6938902579816,321.2284425056903,30.012173339905203,-2.500928417235457,3.9066511910521506,21.260949271065858
