Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Company,Year,Month,Day,Day_Name,Weekday,Daily_Return,Log_Return,MA20,MA50,MA100,EMA20,EMA50,Volatility,Dollar_Volume,Price_Change_%,Volume_Change_%,High_Low_Spread,Open_Close_Change,Cumulative_Return,BB_Upper,BB_Lower,RSI,MACD,Signal_Line,ATR
2021-11-30,323.0113724333739,325.38106466384926,316.9137120997924,318.4549865722656,42885600,0.0,0.0,MSFT,2021,11,30,Tuesday,1,-0.01794294655334361,-0.018105873082518573,323.53090515136716,303.2511682128906,292.0861868286133,320.24618638624816,309.34855673698803,0.011007666015069506,13657133172.143555,-1.4105961120759236,50.141264200815726,8.467352564056853,-4.556385861108254,0.19655550060503546,330.63072388521465,316.4310864175197,44.86656945350488,4.969589342758752,6.893212360579127,5.848420783183777
2021-12-01,322.8284234606484,326.8260839728482,317.2991304369134,317.9637756347656,33337600,0.0,0.0,MSFT,2021,12,1,Wednesday,2,-0.0015424815380886692,-0.0015436723874693342,323.4133010864258,303.941240234375,292.60439361572264,320.0288050787554,309.6924569736033,0.010698064540846952,10600149166.601562,-1.5068833697277528,-22.263883448057154,9.526953535934808,-4.864647825882798,0.19470983583605372,330.80910438352083,316.0174977893308,49.86064235497666,4.222400544304151,6.359049997237083,6.114772488609633
2021-12-02,318.17571186769004,321.24861933110265,315.7674790215907,317.3954467773437,30766000,0.0,0.0,MSFT,2021,12,2,Thursday,3,-0.0017874012732655986,-0.0017890005809419495,323.22545623779297,304.5472521972656,293.0817922973633,319.7779998065612,309.9997273422482,0.01067995973835832,9764988315.551756,-0.24523087754442177,-7.713812631983108,5.481140309511943,-0.7802650903463473,0.19257440995429742,331.04192985525555,315.4089826203304,47.12441250388534,3.543557257420332,5.795951449200322,6.282383861515846
2021-12-03,319.8036737217345,320.48763300351385,306.3561099885442,311.1533203125,41779300,0.0,0.0,MSFT,2021,12,3,Friday,4,-0.01966671711337631,-0.0198626805549844,322.6081970214844,305.00957641601565,293.48208587646485,318.9565743688987,310.0457128847221,0.011321631070784136,12999767915.332031,-2.7048949465043712,35.79698368328674,14.131523014969673,-8.650353409234526,0.1691203863970745,332.10338933046495,313.1130047125038,34.688563114161425,2.473537163797914,5.131468592050537,6.962107521313121
2021-12-06,312.05881608344686,315.43034198292435,307.512071408828,314.2165832519531,30032600,0.0,0.0,MSFT,2021,12,6,Monday,0,0.00984486662837658,0.009796721658232813,322.16236724853513,305.5372045898437,293.9272164916992,318.505133023724,310.2118682699821,0.011622003207400842,9436740958.172607,0.6914616916092078,-28.11607662167629,7.918270574096368,2.1577671685062683,0.18063022067366985,332.3647612692411,311.95997322782915,39.77088963869444,1.8513028704030603,4.475435447666304,7.263276013718793
2021-12-07,319.46652904482426,323.4738023613807,317.9830494801912,322.6261291503906,31021900,0.0,0.0,MSFT,2021,12,7,Tuesday,1,0.026763533010905283,0.026411654201957825,322.09230651855466,306.3326385498047,294.4591293334961,318.8976195587013,310.70610930923567,0.013199274203402415,10008475515.890503,0.9890238313895621,3.294087092026654,5.490752881189508,3.159600105566369,0.2122280565583421,332.2599618966139,311.9246511404954,46.07629117242226,2.013354952290456,3.983019348558266,7.570111748136371
2021-12-08,323.00186310702526,323.18489117960274,318.6574010643354,322.6743469238281,24761000,0.0,0.0,MSFT,2021,12,8,Wednesday,2,0.00014945402458410584,0.00014944285744400914,322.0746551513672,307.3338433837891,295.02741638183596,319.25731676247307,311.1823089726501,0.013181002353502332,7989739504.180908,-0.10139761425729366,-20.182193869492192,4.527490115267369,-0.32751618319713316,0.21240922892010827,332.2366997382858,311.91261056444864,45.883803564852236,2.1212185924061373,3.610659197307956,7.605203854341198
2021-12-09,322.1348670016077,324.13850382611764,319.92891744874584,320.8729553222656,22214200,0.0,0.0,MSFT,2021,12,9,Thursday,3,-0.005582692329699657,-0.005598333798024184,322.2145294189453,308.2897888183594,295.55552154541016,319.4111905397345,311.5676656377875,0.012756653402393285,7127936004.119873,-0.3917339625752978,-10.285529663583858,4.2095863773718065,-1.261911679342063,0.205640721217359,332.2206145942288,312.2084442436618,41.85128987143944,2.037887114278817,3.296104780688691,7.53914802505033
2021-12-10,322.68393709248,330.4095372641144,322.5009090494943,329.9664306640625,38095700,0.0,0.0,MSFT,2021,12,10,Friday,4,0.028339799883302597,0.02794565704869424,322.730712890625,309.46760498046876,296.154599609375,320.41647182718333,312.2989056402047,0.014177902022343595,12570302152.648926,2.2568503524535126,71.49255881373176,7.908628214620137,7.282493571582506,0.23980833798781953,333.23111229467247,312.23031348657753,49.50635501720116,2.6746144501231015,3.1718067145713253,7.956799259326203
2021-12-13,328.1747255655925,331.17058275210826,326.6334505414845,326.94171142578125,28899400,0.0,0.0,MSFT,2021,12,13,Monday,0,-0.009166748363444,-0.009209021537906013,322.8894104003906,310.4468475341797,296.67794036865234,321.0379345847518,312.8805616230843,0.014117542094389073,9448419295.178223,-0.37571879969921773,-24.139994802563013,4.537132210623781,-1.233014139811246,0.22844332693458536,333.5505121773945,312.2283086233867,49.626727530075506,2.9017553525263224,3.117796442160848,7.584555103193907
2021-12-14,320.98847186636954,322.35636076418,312.2128579722413,316.28759765625,44438700,0.0,0.0,MSFT,2021,12,14,Tuesday,1,-0.03258719642430763,-0.033129983642907715,322.5466537475586,311.32820190429686,297.0608624267578,320.5855140568015,313.01583064884346,0.01595008800038448,14055409665.966797,-1.4644993892729437,53.770320491082856,10.143502791938715,-4.700874210119537,0.18841180294363813,333.60678414166983,311.48652335344735,42.977433078143385,2.196910185997865,2.933619190924223,8.205199056910118
2021-12-15,316.54775928331173,322.8862449005628,312.5886384053127,322.3660583496094,35381100,0.0,0.0,MSFT,2021,12,15,Wednesday,2,0.01921814430411395,0.01903580817348645,322.3424362182617,312.2224725341797,297.51051940917966,320.7550922428249,313.3868805356355,0.016401710074233775,11405665747.073364,1.8380477813113298,-20.382234403796694,10.297606495250136,5.818299066297641,0.21125087246532126,333.24883235934476,311.43604007717863,47.75421997653435,2.104449276395428,2.767785208015562,8.648314112602009
